original_path,destination_path,category,bytes,sha256,status
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_05_Stem_Leaf_Bud.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_05_Stem_Leaf_Bud.png,QA,20281,a4bbc6e90f8885ce6980fc8054bdb4da933a631cbb0c911e7b1669e7ff8845b3,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/baseline-batch01/Case_06_Watercolor_Vector_Approximation.png,qa/validation/Validation/v1.6.2/baseline-batch01/Case_06_Watercolor_Vector_Approximation.png,QA,23868,9b9332a4f8c094908e084a7e31dbbc455b26a42dd3a715e9dd664a47fcfe7589,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/FINAL_SUMMARY.txt,qa/validation/Validation/v1.6.2/flower-batch/FINAL_SUMMARY.txt,QA,414,7c88aabe9f47fc38f2b28d8f5e712f360e9b402ebb53194fb79d9c6abce7976b,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/FLOWER_BATCH_V1.6.2_REGRESSION_SUMMARY.json,qa/validation/Validation/v1.6.2/flower-batch/FLOWER_BATCH_V1.6.2_REGRESSION_SUMMARY.json,QA,3425,c9763fe2c78b6885af27638b5cb155a54af62182bec03a57b8bbbe38d5586524,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.difference.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.difference.png,QA,18297,b58ecf8c64497529478bc4815d24fd0fa410fdd02ffd5fda3f08a051ade64f15,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.overlay.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.overlay.png,QA,24949,8a856b76f339a21ba64194ac42210a852bf21201dfc317377d67f38d7a11c177,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.side-by-side.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-70.side-by-side.png,QA,32623,3970f34325cf13ddced1bd82fd69b7939a481e04be7d3baa62fe50375240423e,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.difference.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.difference.png,QA,3640,91f11d1c34d8ee77f7c3fd4c9a5a09bad6d8f78b62a6386692c2c4e635692a6e,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.overlay.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.overlay.png,QA,17655,e0acadcb79fc5bb23797c8a458c835c3eb1a0f4d66d16d18d58c32f8e33d1023,COPIED
INK_Core_Main_Program_v1.6.5_RC/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.side-by-side.png,qa/validation/Validation/v1.6.2/flower-batch/case-01-outline-fleurify/comparisons/100-vs-rerun.side-by-side.png,QA,22927,b3c790051e511447f9300a33cf381cc0bd7949682fadb997e8403e4a70b4e845,COPIED
